Name,Phase,Drug Type,Passes Rule of Five,Chirality,Smiles,Selfies
TOFIMILAST,2,1:Synthetic Small Molecule,1,Achiral Molecule,CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,[C][C][C][=N][N][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][C][=C][Ring1][#Branch2][C][C][N][C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][=N][N][=C][Ring1][#Branch2][Ring1][=C]
DIACETYLMORPHINE,4,1:Synthetic Small Molecule,1,Single Stereoisomer,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,[C][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C@H1][C@@H1][Branch1][#Branch1][O][C][Branch1][C][C][=O][C][=C][C@H1][C@@H1][Branch1][Ring2][C][Ring1][#C][N][Branch1][C][C][C][C][C@@][Ring2][Ring1][Ring1][Ring1][Branch2][Ring1][S]
QUINIDINE,4,1:Synthetic Small Molecule,1,Single Stereoisomer,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,[C][=C][C@H1][C][N][C][C][C@H1][Ring1][=Branch1][C][C@@H1][Ring1][=Branch1][C@@H1][Branch1][C][O][C][=C][C][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][Ring1][Branch2]
RELUGOLIX,4,1:Synthetic Small Molecule,0,Achiral Molecule,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,[C][O][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Branch1][Branch2][C][S][C][=C][Branch1][#Branch2][C][=Ring1][Branch1][C][N][Branch1][C][C][C][C][=Branch1][C][=O][N][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][N][=N][Ring1][Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][Branch1][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F][C][=C][Ring2][Ring2][=Branch1]
VESTIPITANT,2,1:Synthetic Small Molecule,0,Single Stereoisomer,Cc1cc(F)ccc1[C@H]1CNCCN1C(=O)N(C)[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,[C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][C@H1][C][N][C][C][N][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][C][C][C@H1][Branch1][C][C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][=C]
RIMACALIB,2,1:Synthetic Small Molecule,1,Single Stereoisomer,C[C@@H](c1ccc(-c2ccccc2)c(F)c1)c1cc(NC(=N)N2CCOCC2)on1,[C][C@@H1][Branch2][Ring1][=Branch1][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][F][=C][Ring1][=N][C][C][=C][Branch1][=C][N][C][=Branch1][C][=N][N][C][C][O][C][C][Ring1][=Branch1][O][N][=Ring1][=C]
QUINAGOLIDE,2,1:Synthetic Small Molecule,1,Racemic Mixture,CCCN1CC(NS(=O)(=O)N(CC)CC)CC2Cc3c(O)cccc3CC21,[C][C][C][N][C][C][Branch1][S][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][Ring1][C][C][C][C][C][C][C][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C][C][Ring1][O][Ring2][Ring1][Branch2]
TIAPRIDE,3,1:Synthetic Small Molecule,1,Achiral Molecule,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,[C][C][N][Branch1][Ring1][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=O][=O][=C][C][=C][Ring1][#Branch2][O][C]
GLAFENINE,4,1:Synthetic Small Molecule,1,Racemic Mixture,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,[O][=C][Branch1][=Branch2][O][C][C][Branch1][C][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=C][C][=N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][O][Ring1][#Branch1]
PFK-158,1,1:Synthetic Small Molecule,1,Unknown,O=C(/C=C/c1ccc2ccc(C(F)(F)F)cc2n1)c1ccncc1,[O][=C][Branch2][Ring1][O][/C][=C][/C][=C][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][Ring1][#Branch2][=N][Ring1][=C][C][=C][C][=N][C][=C][Ring1][=Branch1]
